	Sediment_013	Sediment_014	Sediment_015	Sediment_010	Sediment_011	Sediment_012	Sediment_043	Sediment_044	Sediment_045	Sediment_040	Sediment_041	Sediment_058	Sediment_060	Sediment_055	Sediment_056	Sediment_057	Sediment_004	Sediment_005	Sediment_006	Sediment_001	Sediment_002	Sediment_003	Sediment_007	Sediment_008	Sediment_009	Sediment_034	Sediment_035	Sediment_036	Sediment_031	Sediment_032	Sediment_033	Sediment_037	Sediment_038	Sediment_039	Sediment_049	Sediment_051	Sediment_046	Sediment_047	Sediment_048	Sediment_052	Sediment_053	Sediment_054
ASV.2468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2469	0	0	93	3	35	12	82	50	38	38	0	127	54	30	0	0	7	0	22	0	4	0	12	33	0	244	0	196	231	0	74	0	184	0	0	0	0	16	0	0	0	41
ASV.247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2470	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	9	0	0	0	0	0	11	0	16	0	0	0	0	0	0	0	0
ASV.2471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	3	0	0	0	0	8	0	0	0	25	0	0
ASV.2472	0	0	0	0	0	0	11	0	0	0	18	0	0	0	0	0	0	11	0	0	0	0	0	0	0	7	0	5	5	0	6	0	0	0	0	0	0	0	0	0	15	0
ASV.2473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2474	33	7	12	11	0	0	0	0	7	0	0	0	0	0	0	0	3	0	0	6	0	0	0	16	14	0	0	0	0	0	0	0	0	11	0	0	0	0	0	15	22	0
ASV.2475	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	28	0	29	0	0	0	23	0	38	0	0	0	0	26	0	0	0
ASV.2476	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	14	55	0	0	0	0	0	22	0	0	0
